source_stock_code,source_description,stock_code,description,similarity
22139,RETROSPOT TEA SET CERAMIC 11 PC ,22423,REGENCY CAKESTAND 3 TIER,0.3199128392243737
22139,RETROSPOT TEA SET CERAMIC 11 PC ,21212,PACK OF 72 RETROSPOT CAKE CASES,0.31581091124760613
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20725,LUNCH BAG RED RETROSPOT,0.30872481796409473
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,0.6277220741519215
22469,HEART OF WICKER SMALL,22694,WICKER STAR ,0.45048721932182306
22469,HEART OF WICKER SMALL,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.44447149148664583
22469,HEART OF WICKER SMALL,23321,SMALL WHITE HEART OF WICKER,0.4354494836621935
22469,HEART OF WICKER SMALL,23322,LARGE WHITE HEART OF WICKER,0.40045523917299714
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,0.6541929655024363
20728,LUNCH BAG CARS BLUE,22383,LUNCH BAG SUKI  DESIGN ,0.6214737763656163
20728,LUNCH BAG CARS BLUE,20725,LUNCH BAG RED RETROSPOT,0.6197706638998067
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN ,0.6127626533203976
20728,LUNCH BAG CARS BLUE,20726,LUNCH BAG WOODLAND,0.5970324414224402
84991,60 TEATIME FAIRY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.5778919264518787
84991,60 TEATIME FAIRY CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.5591771025054796
84991,60 TEATIME FAIRY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.5461496142621474
84991,60 TEATIME FAIRY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.5423417254691804
84991,60 TEATIME FAIRY CAKE CASES,84987,SET OF 36 TEATIME PAPER DOILIES,0.4916085352935213
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21212,PACK OF 72 RETROSPOT CAKE CASES,0.3680714578099788
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21218,RED SPOTTY BISCUIT TIN,0.36054791501164346
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21843,RED RETROSPOT CAKE STAND,0.3593667070850345
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,22558,CLOTHES PEGS RETROSPOT PACK 24 ,0.3453438112005033
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,0.34010148118613603
22197,SMALL POPCORN HOLDER,22198,LARGE POPCORN HOLDER ,0.4931994396352629
22197,SMALL POPCORN HOLDER,21212,PACK OF 72 RETROSPOT CAKE CASES,0.3023715642468699
22197,SMALL POPCORN HOLDER,84992,72 SWEETHEART FAIRY CAKE CASES,0.28361608001044075
22197,SMALL POPCORN HOLDER,22417,PACK OF 60 SPACEBOY CAKE CASES,0.2810395099898939
22197,SMALL POPCORN HOLDER,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.28029459319235617
82494L,WOODEN FRAME ANTIQUE WHITE ,82482,WOODEN PICTURE FRAME WHITE FINISH,0.7211120923327667
82494L,WOODEN FRAME ANTIQUE WHITE ,82483,WOOD 2 DRAWER CABINET WHITE FINISH,0.44489439799927966
82494L,WOODEN FRAME ANTIQUE WHITE ,82486,WOOD S/3 CABINET ANT WHITE FINISH,0.42992773766792963
82494L,WOODEN FRAME ANTIQUE WHITE ,82484,WOOD BLACK BOARD ANT WHITE FINISH,0.42667213165551465
82494L,WOODEN FRAME ANTIQUE WHITE ,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.3899479331396771
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,0.6065432446963459
22386,JUMBO BAG PINK POLKADOT,85099F,JUMBO BAG STRAWBERRY,0.5547692092164337
22386,JUMBO BAG PINK POLKADOT,22385,JUMBO BAG SPACEBOY DESIGN,0.5318690596014687
22386,JUMBO BAG PINK POLKADOT,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.529292265013219
22386,JUMBO BAG PINK POLKADOT,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.5202929322957256
22470,HEART OF WICKER LARGE,22469,HEART OF WICKER SMALL,0.6277220741519215
22470,HEART OF WICKER LARGE,22694,WICKER STAR ,0.5408955414059429
22470,HEART OF WICKER LARGE,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.46303938939439315
22470,HEART OF WICKER LARGE,23322,LARGE WHITE HEART OF WICKER,0.4482218220911212
22470,HEART OF WICKER LARGE,22457,NATURAL SLATE HEART CHALKBOARD ,0.3825054443360601
22138,BAKING SET 9 PIECE RETROSPOT ,22617,BAKING SET SPACEBOY DESIGN,0.5661275679920674
22138,BAKING SET 9 PIECE RETROSPOT ,22139,RETROSPOT TEA SET CERAMIC 11 PC ,0.48217798856185573
22138,BAKING SET 9 PIECE RETROSPOT ,21212,PACK OF 72 RETROSPOT CAKE CASES,0.3884630143795569
22138,BAKING SET 9 PIECE RETROSPOT ,22367,CHILDRENS APRON SPACEBOY DESIGN,0.33139991421588044
22138,BAKING SET 9 PIECE RETROSPOT ,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.32353412525649156
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.6003560218916123
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22083,PAPER CHAIN KIT RETROSPOT,0.45540683807609406
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22952,60 CAKE CASES VINTAGE CHRISTMAS,0.3770414723877949
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.3688554674537619
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22084,PAPER CHAIN KIT EMPIRE,0.35846903264813745
21931,JUMBO STORAGE BAG SUKI,21930,JUMBO STORAGE BAG SKULLS,0.5494252788976778
21931,JUMBO STORAGE BAG SUKI,22385,JUMBO BAG SPACEBOY DESIGN,0.5381375798694303
21931,JUMBO STORAGE BAG SUKI,20713,JUMBO BAG OWLS,0.5307200839084202
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,0.5223389306553405
21931,JUMBO STORAGE BAG SUKI,22383,LUNCH BAG SUKI  DESIGN ,0.511998190004536
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,21094,SET/6 RED SPOTTY PAPER PLATES,0.5481289108043814
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,21086,SET/6 RED SPOTTY PAPER CUPS,0.5098613322437002
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,21212,PACK OF 72 RETROSPOT CAKE CASES,0.4772747652271744
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,21078,SET/20 STRAWBERRY PAPER NAPKINS ,0.46391320093292887
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,0.4247999058733959
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.5576300894719369
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.554007409861724
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,0.5351420970931013
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099F,JUMBO BAG STRAWBERRY,0.504613310416229
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.4998777894538525
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE ,0.7211120923327667
82482,WOODEN PICTURE FRAME WHITE FINISH,82483,WOOD 2 DRAWER CABINET WHITE FINISH,0.45337046993618296
82482,WOODEN PICTURE FRAME WHITE FINISH,82486,WOOD S/3 CABINET ANT WHITE FINISH,0.42096323552312676
82482,WOODEN PICTURE FRAME WHITE FINISH,82484,WOOD BLACK BOARD ANT WHITE FINISH,0.4118431920219318
82482,WOODEN PICTURE FRAME WHITE FINISH,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.3971423833819956
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.6009218587124835
21733,RED HANGING HEART T-LIGHT HOLDER,22804,CANDLEHOLDER PINK HANGING HEART,0.5427805267979647
21733,RED HANGING HEART T-LIGHT HOLDER,22470,HEART OF WICKER LARGE,0.3819259891018055
21733,RED HANGING HEART T-LIGHT HOLDER,22469,HEART OF WICKER SMALL,0.3527339157367025
21733,RED HANGING HEART T-LIGHT HOLDER,22189,CREAM HEART CARD HOLDER,0.3282358385978483
22457,NATURAL SLATE HEART CHALKBOARD ,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.4071485191283732
22457,NATURAL SLATE HEART CHALKBOARD ,22469,HEART OF WICKER SMALL,0.39660012769275044
22457,NATURAL SLATE HEART CHALKBOARD ,22488,NATURAL SLATE RECTANGLE CHALKBOARD,0.3851299971244223
22457,NATURAL SLATE HEART CHALKBOARD ,22470,HEART OF WICKER LARGE,0.3825054443360601
22457,NATURAL SLATE HEART CHALKBOARD ,22456,NATURAL SLATE CHALKBOARD LARGE ,0.3654683561944547
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN ,0.6315930217326968
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,0.5970324414224402
20726,LUNCH BAG WOODLAND,20725,LUNCH BAG RED RETROSPOT,0.5736807379031494
20726,LUNCH BAG WOODLAND,22384,LUNCH BAG PINK POLKADOT,0.558165107444335
20726,LUNCH BAG WOODLAND,22383,LUNCH BAG SUKI  DESIGN ,0.55723580173546
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21212,PACK OF 72 RETROSPOT CAKE CASES,0.5841891442975884
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,0.5591771025054796
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84992,72 SWEETHEART FAIRY CAKE CASES,0.512933183358317
21977,PACK OF 60 PINK PAISLEY CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,0.5056153786204807
21977,PACK OF 60 PINK PAISLEY CAKE CASES,22417,PACK OF 60 SPACEBOY CAKE CASES,0.47141100893318844
21181,PLEASE ONE PERSON METAL SIGN,21175,GIN + TONIC DIET METAL SIGN,0.5651584213282169
21181,PLEASE ONE PERSON METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN ,0.562048640772597
21181,PLEASE ONE PERSON METAL SIGN,21166,COOK WITH WINE METAL SIGN ,0.5497563109307613
21181,PLEASE ONE PERSON METAL SIGN,85150,LADIES & GENTLEMEN METAL SIGN,0.5385880907897496
21181,PLEASE ONE PERSON METAL SIGN,82600,NO SINGING METAL SIGN,0.5356143038930679
85099F,JUMBO BAG STRAWBERRY,85099B,JUMBO BAG RED RETROSPOT,0.6003459769935214
85099F,JUMBO BAG STRAWBERRY,22386,JUMBO BAG PINK POLKADOT,0.5547692092164337
85099F,JUMBO BAG STRAWBERRY,21929,JUMBO BAG PINK VINTAGE PAISLEY,0.5061715063681418
85099F,JUMBO BAG STRAWBERRY,85099C,JUMBO  BAG BAROQUE BLACK WHITE,0.5057749696619804
85099F,JUMBO BAG STRAWBERRY,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.504613310416229
21755,LOVE BUILDING BLOCK WORD,21754,HOME BUILDING BLOCK WORD,0.6463932496981981
21755,LOVE BUILDING BLOCK WORD,21756,BATH BUILDING BLOCK WORD,0.5183730760712321
21755,LOVE BUILDING BLOCK WORD,22119,PEACE WOODEN BLOCK LETTERS,0.40587468211616473
21755,LOVE BUILDING BLOCK WORD,22121,NOEL WOODEN BLOCK LETTERS ,0.3983967629934308
21755,LOVE BUILDING BLOCK WORD,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.39653581239169555
20724,RED RETROSPOT CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,0.6356969975164396
20724,RED RETROSPOT CHARLOTTE BAG,20723,STRAWBERRY CHARLOTTE BAG,0.6034041975682277
20724,RED RETROSPOT CHARLOTTE BAG,20719,WOODLAND CHARLOTTE BAG,0.5775625225217472
20724,RED RETROSPOT CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,0.555053056285849
20724,RED RETROSPOT CHARLOTTE BAG,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.47394781278964215
21790,VINTAGE SNAP CARDS,21791,VINTAGE HEADS AND TAILS CARD GAME ,0.6161307932437261
21790,VINTAGE SNAP CARDS,21889,WOODEN BOX OF DOMINOES,0.46615345201816544
21790,VINTAGE SNAP CARDS,21912,VINTAGE SNAKES & LADDERS,0.4470594549251785
21790,VINTAGE SNAP CARDS,22548,HEADS AND TAILS SPORTING FUN,0.42555672705472863
21790,VINTAGE SNAP CARDS,22549,PICTURE DOMINOES,0.41065098703200975
48138,DOORMAT UNION FLAG,20685,DOORMAT RED RETROSPOT,0.44340500673763106
48138,DOORMAT UNION FLAG,48194,DOORMAT HEARTS,0.3998851399832756
48138,DOORMAT UNION FLAG,48187,DOORMAT NEW ENGLAND,0.39308305192959747
48138,DOORMAT UNION FLAG,21524,DOORMAT SPOTTY HOME SWEET HOME,0.39247492686002505
48138,DOORMAT UNION FLAG,23284,DOORMAT KEEP CALM AND COME IN,0.3870693672140186
20685,DOORMAT RED RETROSPOT,48184,DOORMAT ENGLISH ROSE ,0.46537892099551703
20685,DOORMAT RED RETROSPOT,48138,DOORMAT UNION FLAG,0.44340500673763106
20685,DOORMAT RED RETROSPOT,48194,DOORMAT HEARTS,0.42613823866160416
20685,DOORMAT RED RETROSPOT,21524,DOORMAT SPOTTY HOME SWEET HOME,0.41338369095716393
20685,DOORMAT RED RETROSPOT,48187,DOORMAT NEW ENGLAND,0.40675814739989213
